2025-06-07 07:42:50 startup archives install
2025-06-07 07:42:50 install base-passwd:arm64 <none> 3.6.1
2025-06-07 07:42:50 status half-installed base-passwd:arm64 3.6.1
2025-06-07 07:42:50 status unpacked base-passwd:arm64 3.6.1
2025-06-07 07:42:50 configure base-passwd:arm64 3.6.1 3.6.1
2025-06-07 07:42:50 status half-configured base-passwd:arm64 3.6.1
2025-06-07 07:42:51 status installed base-passwd:arm64 3.6.1
2025-06-07 07:42:51 startup archives install
2025-06-07 07:42:51 install base-files:arm64 <none> 12.4+deb12u11
2025-06-07 07:42:51 status half-installed base-files:arm64 12.4+deb12u11
2025-06-07 07:42:51 status unpacked base-files:arm64 12.4+deb12u11
2025-06-07 07:42:51 configure base-files:arm64 12.4+deb12u11 12.4+deb12u11
2025-06-07 07:42:51 status half-configured base-files:arm64 12.4+deb12u11
2025-06-07 07:42:52 status installed base-files:arm64 12.4+deb12u11
2025-06-07 07:42:53 startup archives install
2025-06-07 07:42:53 upgrade dpkg 1.21.22 1.21.22
2025-06-07 07:42:53 status half-configured dpkg 1.21.22
2025-06-07 07:42:53 status unpacked dpkg 1.21.22
2025-06-07 07:42:53 status half-installed dpkg 1.21.22
2025-06-07 07:42:53 status unpacked dpkg:arm64 1.21.22
2025-06-07 07:42:53 configure dpkg:arm64 1.21.22 1.21.22
2025-06-07 07:42:53 status half-configured dpkg:arm64 1.21.22
2025-06-07 07:42:54 status installed dpkg:arm64 1.21.22
2025-06-07 07:42:54 startup archives install
2025-06-07 07:42:55 install libc6:arm64 <none> 2.36-9+deb12u10
2025-06-07 07:42:55 status half-installed libc6:arm64 2.36-9+deb12u10
2025-06-07 07:42:56 status unpacked libc6:arm64 2.36-9+deb12u10
2025-06-07 07:42:57 configure libc6:arm64 2.36-9+deb12u10 2.36-9+deb12u10
2025-06-07 07:42:57 status half-configured libc6:arm64 2.36-9+deb12u10
2025-06-07 07:42:57 status installed libc6:arm64 2.36-9+deb12u10
2025-06-07 07:42:57 startup archives install
2025-06-07 07:42:57 install perl-base:arm64 <none> 5.36.0-7+deb12u2
2025-06-07 07:42:57 status half-installed perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:42:59 status unpacked perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:42:59 configure perl-base:arm64 5.36.0-7+deb12u2 5.36.0-7+deb12u2
2025-06-07 07:42:59 status half-configured perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:42:59 status installed perl-base:arm64 5.36.0-7+deb12u2
2025-06-07 07:42:59 startup archives install
2025-06-07 07:42:59 install mawk:arm64 <none> 1.3.4.20200120-3.1
2025-06-07 07:42:59 status half-installed mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:42:59 status unpacked mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:42:59 configure mawk:arm64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-06-07 07:42:59 status half-configured mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:42:59 status installed mawk:arm64 1.3.4.20200120-3.1
2025-06-07 07:42:59 startup archives unpack
2025-06-07 07:42:59 install adduser:all <none> 3.134
2025-06-07 07:42:59 status half-installed adduser:all 3.134
2025-06-07 07:43:00 status unpacked adduser:all 3.134
2025-06-07 07:43:00 install apt:arm64 <none> 2.6.1
2025-06-07 07:43:00 status half-installed apt:arm64 2.6.1
2025-06-07 07:43:00 status unpacked apt:arm64 2.6.1
2025-06-07 07:43:01 upgrade base-files:arm64 12.4+deb12u11 12.4+deb12u11
2025-06-07 07:43:01 status half-configured base-files:arm64 12.4+deb12u11
2025-06-07 07:43:01 status unpacked base-files:arm64 12.4+deb12u11
2025-06-07 07:43:01 status half-installed base-files:arm64 12.4+deb12u11
2025-06-07 07:43:01 status unpacked base-files:arm64 12.4+deb12u11
2025-06-07 07:43:01 upgrade base-passwd:arm64 3.6.1 3.6.1
2025-06-07 07:43:01 status half-configured base-passwd:arm64 3.6.1
2025-06-07 07:43:01 status unpacked base-passwd:arm64 3.6.1
2025-06-07 07:43:01 status half-installed base-passwd:arm64 3.6.1
2025-06-07 07:43:01 status unpacked base-passwd:arm64 3.6.1
2025-06-07 07:43:01 install bash:arm64 <none> 5.2.15-2+b8
2025-06-07 07:43:01 status half-installed bash:arm64 5.2.15-2+b8
2025-06-07 07:43:02 status unpacked bash:arm64 5.2.15-2+b8
2025-06-07 07:43:02 install bsdutils:arm64 <none> 1:2.38.1-5+deb12u3
2025-06-07 07:43:02 status half-installed bsdutils:arm64 1:2.38.1-5+deb12u3
2025-06-07 07:43:02 status unpacked bsdutils:arm64 1:2.38.1-5+deb12u3
2025-06-07 07:43:02 install coreutils:arm64 <none> 9.1-1
